,CD3,CD4,CD8a,CD11b,CD14,CD15,CD16,CD19,CD20,CD25,CD27,CD28,CD34,CD45RA,CD45RO,CD56,CD62L,CD69,CD80,CD86,CD127,CD137,CD197,CD274,CD278,CD335,PD-1,HLA-DR,TIGIT
CREB1,0.08459027601063723,-0.041050523561647394,0.14001075762696152,-0.0031983315386200947,0.008489026602761768,0.020655269200753182,0.00828738069784837,0.010512645625461989,0.04135019552711198,0.01643656475596555,0.15757016911999788,0.08210409507596202,-0.0017920005223261517,0.006837827455560912,0.06262020007649903,0.010327080206155427,0.023737774745783778,0.02213049125933816,0.009416292062994928,0.008090106419818185,0.05964599000001352,0.027983999084874155,0.021215290520501223,0.014430227757024678,0.027821595355917664,0.014033405870082975,0.06317710053923092,0.014095461475442224,0.09909150624766958
JUN,0.1149740188024003,0.07562502227321723,0.01610003321635636,0.03569990693017351,0.010889649680847026,0.028946607359031738,0.029538298174768485,0.02059843376334658,0.023668386852042516,0.018181972587329086,0.019293027801684622,0.0270837621836686,0.009119355004374436,0.08003330597236916,0.024577392067652443,0.04296764831988685,0.022888840309720587,0.03622273424677946,0.02401800799660857,0.006767465556206495,0.058143992717909675,0.014584996054448822,0.02658959614249289,0.029489578201726898,0.06444372222866121,0.03329629213806814,0.05816011818104678,0.009064863403408356,0.026319192746312895
TEAD1,-0.17066680074670756,-0.04890927165539101,-0.10106359623257016,-0.035537582188651606,-0.0176358753473681,-0.045994872782328944,-0.03691073284406405,-0.02924299307879078,-0.0646554028787652,-0.03431043347703226,-0.19133397626562895,-0.10777050494130405,-0.008497397425615083,-0.10237819728215539,-0.048059641969793995,-0.054001718675526625,-0.052935296284327575,-0.054439389388077866,-0.03310556128351099,-0.011849844046602368,-0.14128477040670123,-0.03136706669356368,-0.0461530174665641,-0.04363845376351932,-0.07191377430110811,-0.04749210686334816,-0.11174391611105156,-0.013667434067307452,-0.08354655554472833
FOS,0.23542593484405278,0.12878591233769193,0.19871555786726042,0.05258246453231863,0.02255555159743057,0.057085823164290145,0.05931290735110832,0.04320698816484368,0.04129885562418041,0.02762705366712663,-0.020432349838633578,0.026559427667858505,0.020626121504800584,0.15490029190589122,0.09600403138569054,0.0659937863266342,0.02649135180168264,0.07591185398280713,0.04285654703546852,0.01792312719028144,0.02839129420674457,0.049139473871033616,0.04899004309288531,0.05765247274256231,0.1659889797943796,0.06425480594774952,0.16114500590379985,0.03573537939865875,0.1937306759930808
RXRA,-0.07261663575881248,-0.11021297105513417,-0.12738002656892103,-0.027593205397351408,-0.009652898469875841,-0.023021985175231224,-0.02996576434135721,-0.022819331183051725,-0.017602187446344158,-0.009218384143451773,0.03561606912304539,0.003933235594835813,-0.01198814042396889,-0.08907459911167179,-0.02397976228446415,-0.020564257967912072,-0.011709740068696394,-0.03466008354614805,-0.020532733832853832,-0.0070546881168295095,-0.012190604825768588,-0.015717251770934634,-0.022049699951964142,-0.03116857797801726,-0.09424080157099024,-0.031036417238158538,-0.1111315994679979,-0.011545552256730159,-0.08377141794578594
PBX3,0.14272652473014716,0.042656749901499084,0.018439416332773,0.037754570696867815,0.010540402403752466,0.028023692322428215,0.02992786369214599,0.018245232918128858,0.0069574558404254215,0.014755175998842749,-0.06324287478100422,-0.008091405394985833,0.00946531084792756,0.06785321608644414,0.04673528910217828,0.05011447054313319,0.006406101626969866,0.03469992987689076,0.021602080799967248,0.007847423349795898,0.00031145964369426135,0.019135448609875268,0.02124051619849798,0.023147078492633068,0.06734018283950653,0.03078593113520503,0.010400027569162262,0.017729167076196418,0.0408070811185446
MYC,0.4006336928224826,0.14918721230956758,0.2779133101201527,0.10710898473998293,0.0363693579949849,0.09145972420572664,0.09052592250289394,0.06488246090113216,0.07496130959402487,0.05708266631905285,0.0306752102468161,0.07113062524208952,0.02320788346436992,0.2049956293210811,0.1508488899764235,0.12735956048100688,0.05435603710639301,0.11353444413557667,0.06994830033898967,0.026872673926749784,0.11733477886147675,0.06345839630768163,0.08336183016196297,0.08628024003692511,0.22902364309750436,0.09830694103029393,0.15776065675883222,0.047009141216413836,0.1575491239704928
RARA,0.04433901791037968,0.006121705817393958,0.010320079201015778,0.009692421151728315,0.0020204156791456627,0.00502641107385523,0.0064295379645014986,0.0032969702080973794,-0.010377729682475611,7.726965512100646e-06,-0.07798738383587786,-0.025071034323331354,0.0015812574452784016,-0.000549593048938576,0.031865340371784956,0.01175878847385049,-0.01126135427302325,0.0062457143657122585,0.0034714861062035748,0.0025309715948747024,-0.03836374946669881,0.0069829766540305495,0.00111502782833445,0.0017486755372958566,0.027301538325105373,0.003861384009419608,-0.014384479965846395,0.00949242661522534,0.013911435938127084
PPARG,0.23372276753382332,0.04777244069419342,0.15150417527297108,0.04775579666022406,0.020465042412306837,0.051591595287695184,0.040428321740789704,0.032770556872169024,0.05355385373605016,0.03576128439954398,0.0996279218078027,0.08903588667324465,0.004433911106855239,0.058506024262097486,0.12312605101042289,0.06364310524483759,0.03489880810861757,0.058800843301316866,0.03623706330603566,0.016197232284047746,0.09784602950278899,0.04232095967593283,0.04828984328886786,0.04300016502411153,0.11806241295517984,0.045799098332314325,0.09159677574627059,0.027914968925578192,0.0783991489868132
PAX6,-0.01823473479096226,0.013704783073981161,0.012740796389785808,0.006412428073444529,-0.00087145400583247,-0.003205146743320593,0.0004137701293840478,3.6822605224463318e-06,-0.002972101033589957,-0.0009166939849827458,-0.019956403121410515,-0.013290480066407317,-6.114681575156001e-05,0.0023001765218316006,-0.014489202375413701,-0.0014824514466298868,-0.0010897154980970198,-0.0030076056258031346,-0.00029426904422588494,-0.0013210656463617757,0.001869559774542978,-0.007736088726432105,-0.0011726367486910479,-3.181376255330348e-05,0.001194284973437181,-0.0008659124988489509,-0.007408220480059387,-0.0044003619858319154,-0.03204684692181672
SMAD2,-0.16987402505212815,-0.09605126145515977,-0.12146806633128938,-0.05810109794957557,-0.01722575014647086,-0.042901651218306504,-0.04294523081572359,-0.03205236606241186,-0.0451159216208876,-0.030981736747487203,-0.06014689406105013,-0.052562668714158364,-0.009378395297194773,-0.09990104732488177,-0.05074844328265824,-0.0600780628369059,-0.037267872277181036,-0.052651628904878414,-0.0355388419789014,-0.01112769382510029,-0.10509118151970592,-0.020614611559212605,-0.04343914051222439,-0.0445844656601117,-0.10431978163409135,-0.047625343277659014,-0.0858557383858505,-0.012962463689114715,-0.02027551892586656
VDR,0.15949767963866338,0.046772532417643405,0.09330153931696007,0.04840040488350176,0.014316202739584772,0.035414777846517496,0.02990344312460282,0.02360129053731408,0.03839092532108434,0.028728542649829037,0.067886633111109,0.06041283687371125,0.0013733851570650359,0.03891958634435116,0.07191772213387927,0.052060228718602455,0.028780699098874617,0.03915945930004753,0.027782983763793363,0.009891457434179228,0.09682091877533933,0.018769982372272377,0.03606206250751874,0.03133915461829752,0.08016944152112322,0.03278245847369866,0.04022527106946124,0.01257882940502487,-0.01774060652739222
SP1,-0.31698953457803114,-0.06976468504490832,-0.17051614641212606,-0.0740696382426894,-0.025691588603614795,-0.0656779002235774,-0.0643803225118613,-0.043416928628753224,-0.03933740451871112,-0.03784910352277478,0.03825751122104817,-0.026411765705786294,-0.01748594968542367,-0.13855303206728461,-0.12709574485411912,-0.09899087203310163,-0.025701849020107952,-0.08068207123810933,-0.047699075525787636,-0.020240994410350672,-0.033479975112561206,-0.052143953633623466,-0.05457973821718928,-0.05543180219939107,-0.15871124521100072,-0.06851786245267114,-0.07026582968068834,-0.04225956627729606,-0.1391633536416451
RFX5,0.30789334238587307,0.07834502804629413,0.2511269217298982,0.04752487438881384,0.030098581236020303,0.07666751573636404,0.057824726933789455,0.04945182383511962,0.09757239287800956,0.05117560414370143,0.2500304914703569,0.16725601103380824,0.01042921338936709,0.12016354517633906,0.1554478001043405,0.07577480165694842,0.06656568946687232,0.09063402148739383,0.05189986285183287,0.023839149067577167,0.17017405525991858,0.06928898852400442,0.07338699479691967,0.06876481502851893,0.16297329086381368,0.07104448305751929,0.21375427509089404,0.038718636849910275,0.2050189747077216
ETS1,0.1422887520296189,0.026102066584882604,-0.06194877269702192,0.06609525418954162,0.00937014007442867,0.025622131715901154,0.03423226913983788,0.015599414454906589,0.000625076332333143,0.020665679323445416,-0.08366613031374652,-0.03241147251726045,0.010292279727591976,0.09196991349292225,-0.011162482131771503,0.07640375053560441,0.013623220342040885,0.02991068362248087,0.024217961950752015,0.0036409227541160426,0.03330535351121474,-0.0037604479429350205,0.021263349755060282,0.02100533520523412,0.029312175942210243,0.034903335241606145,-0.08795888938489642,0.004245346415916957,-0.0876781367116725
EPAS1,0.01966708685387,0.03608319488731466,-0.018921816654830406,0.02261023529853003,-0.00038230861732714,-0.0006807455638119265,0.016557378553945054,0.003553043607534872,-0.037512440453706664,-0.009486626958221918,-0.22487547612431796,-0.1119116281195449,0.013253476937010648,0.06918663275525141,-0.030243438317672133,0.020823345674434064,-0.02526052546902255,0.006372792893631905,0.003218901620242735,-0.0006045397889368246,-0.10840216330852906,-0.0056206903268757125,-0.007839790188633722,0.0022101110261601165,0.02469651186098818,0.011542194612521418,-0.05069427097887933,0.006759202030535719,0.019873247958714212
E2F4,-0.14156530958671507,0.0014757876977669702,0.06982020250340015,-0.03575997158325246,-0.005578548172415702,-0.01618872565496415,-0.019369198588318922,-0.007008735322707069,0.029687498285142222,-0.004559625170303217,0.20062663700066607,0.06499634247637032,-0.005120627993780225,-0.011338011000269639,-0.06532791096010149,-0.05101271233039546,0.02413606448015468,-0.017564231442430158,-0.011875528243255738,-0.005433235317699485,0.0818689028526472,-0.013379320585333322,-0.0041242867323857575,-0.003549727906582168,-0.04706014273131388,-0.014113169064605689,0.0892059245926822,-0.021694910944613552,0.009696402697029385
NFE2L2,-0.09829223943151726,-0.059219824823353744,0.004856072713246355,-0.03315161217962063,-0.006976127620363091,-0.01857637729477002,-0.023991048949001056,-0.01395556642956378,0.005700045980125004,-0.0073895339693999425,0.10730480218267761,0.03149728129391902,-0.008614780373403467,-0.054137813587824116,-0.030005303593459664,-0.03733793813336543,0.0028351941276939362,-0.024525071778984053,-0.01633705195815428,-0.00500012071712498,0.020984647956035347,-0.010032327324744131,-0.012744031600792937,-0.017086363355067875,-0.06065372360147745,-0.02252137915759338,-0.004725709584645264,-0.012545748441809524,-0.014923738039448877
